"season","date","team","gameid","opponent","venue","homeaway","result","reg","oppreg","final","oppfinal","Poss","OppPoss","OffRtg","DefRtg","eFG%","TO%","OR%","FTR","OppeFG%","OppTO%","OppOR%","OppFTR","FG%","OppFG%","3PT%","Opp3PT%","FT%","OppFT%","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OppFIC","OppOff","OppDef","OppReb","OppAst","OppPF","OppSTL","OppTO","OppBLK","OppPTS","OppFGM","OppFGA","Opp3PM","Opp3PA","OppFTM","OppFTA","teamOdds","oppOdds","teamLine","totalLine","playoffGame","ot","mov"
"2020",2019-10-26,"Brisbane Bullets","336746","Sydney Kings","Qudos Bank Arena","Away",0,79,94,79,94,81,81,97.3,115.8,0.452,0.074,0.083,0.178,0.662,0.197,0.122,0.123,39.7,53.8,32,44.4,81.3,72.7,"200",42.2,4,25,29,11,15,6,7,2,79,29,73,8,25,13,16,71.6,6,38,44,19,17,2,16,2,94,35,65,16,36,8,11,3.1,1.38,6,174,"N","N",-15
"2020",2019-10-26,"Melbourne United","336745","New Zealand Breakers","Melbourne Arena","Home",1,104,98,104,98,84,84,124.1,116.9,0.531,0.084,0.262,0.238,0.556,0.119,0.194,0.268,46.3,47.9,39.3,36.7,76,79.2,"200",77.9,13,33,46,20,22,5,7,2,104,37,80,11,28,19,25,63,7,30,37,12,23,4,10,4,98,34,71,11,30,19,24,1.33,3.35,-7,181,"N","N",6
"2020",2019-10-26,"New Zealand Breakers","336745","Melbourne United","Melbourne Arena","Away",0,98,104,98,104,84,84,116.9,124.1,0.556,0.119,0.194,0.268,0.531,0.084,0.262,0.238,47.9,46.3,36.7,39.3,79.2,76,"200",63,7,30,37,12,23,4,10,4,98,34,71,11,30,19,24,77.9,13,33,46,20,22,5,7,2,104,37,80,11,28,19,25,3.35,1.33,7,181,"N","N",-6
"2020",2019-10-25,"Perth Wildcats","336744","South East Melbourne Phoenix","Perth Arena","Home",1,110,79,110,79,74,74,148.1,106.4,0.601,0.054,0.386,0.19,0.493,0.148,0.323,0.111,50.6,44.4,45.5,26.9,68.2,80,"200",104.8,17,29,46,26,10,7,4,1,110,40,79,15,33,15,22,53.5,12,22,34,19,19,2,11,6,79,32,72,7,26,8,10,1.42,2.9,-5.5,185,"N","N",31
"2020",2019-10-25,"South East Melbourne Phoenix","336744","Perth Wildcats","Perth Arena","Away",0,79,110,79,110,74,74,106.4,148.1,0.493,0.148,0.323,0.111,0.601,0.054,0.386,0.19,44.4,50.6,26.9,45.5,80,68.2,"200",53.5,12,22,34,19,19,2,11,6,79,32,72,7,26,8,10,104.8,17,29,46,26,10,7,4,1,110,40,79,15,33,15,22,2.9,1.42,5.5,185,"N","N",-31
"2020",2019-10-25,"Adelaide 36ers","336743","Cairns Taipans","Adelaide Arena","Home",1,101,97,101,97,79,79,128.2,123.1,0.528,0.152,0.389,0.366,0.61,0.19,0.31,0.206,47.9,50,35,48.4,92.9,77.8,"200",69.8,18,23,41,12,14,5,12,4,101,34,71,7,20,26,28,70.8,12,21,33,26,25,5,15,4,97,34,68,15,31,14,18,1.44,2.8,-5,184.5,"N","N",4
"2020",2019-10-25,"Cairns Taipans","336743","Adelaide 36ers","Adelaide Arena","Away",0,97,101,97,101,79,79,123.1,128.2,0.61,0.19,0.31,0.206,0.528,0.152,0.389,0.366,50,47.9,48.4,35,77.8,92.9,"200",70.8,12,21,33,26,25,5,15,4,97,34,68,15,31,14,18,69.8,18,23,41,12,14,5,12,4,101,34,71,7,20,26,28,2.8,1.44,5,184.5,"N","N",-4
"2020",2019-10-24,"New Zealand Breakers","336742","Illawarra Hawks","Vector Arena","Home",1,103,72,103,72,85,85,121.4,84.8,0.646,0.13,0.056,0.139,0.424,0.177,0.289,0.153,52.8,37.5,45.9,26.9,66.7,55,"200",90.4,4,37,41,24,19,9,11,7,103,38,72,17,37,10,15,43.2,13,29,42,16,15,6,16,2,72,27,72,7,26,11,20,1.4,3,-6,188.5,"N","N",31
"2020",2019-10-24,"Illawarra Hawks","336742","New Zealand Breakers","Vector Arena","Away",0,72,103,72,103,85,85,84.8,121.4,0.424,0.177,0.289,0.153,0.646,0.13,0.056,0.139,37.5,52.8,26.9,45.9,55,66.7,"200",43.2,13,29,42,16,15,6,16,2,72,27,72,7,26,11,20,90.4,4,37,41,24,19,9,11,7,103,38,72,17,37,10,15,3,1.4,6,188.5,"N","N",-31
"2020",2019-10-21,"Illawarra Hawks","336741","Adelaide 36ers","WIN Entertainment Centre","Home",0,92,98,92,98,88,88,104.5,111.3,0.458,0.102,0.273,0.193,0.508,0.182,0.227,0.47,41,45.5,26.7,29.2,76.2,77.5,"200",49.4,14,27,41,17,27,5,9,1,92,34,83,8,30,16,21,70,11,36,47,17,20,3,16,7,98,30,66,7,24,31,40,1.65,2.25,-2.5,192,"N","N",-6
